Timestamp,Consumption_kWh
2024-07-01 00:00:00,7.09
2024-07-01 01:00:00,8.6
2024-07-01 02:00:00,5.0
2024-07-01 03:00:00,6.51
2024-07-01 04:00:00,5.73
2024-07-01 05:00:00,5.46
2024-07-01 06:00:00,5.93
2024-07-01 07:00:00,6.73
2024-07-01 08:00:00,6.98
2024-07-01 09:00:00,15.53
2024-07-01 10:00:00,14.84
2024-07-01 11:00:00,18.94
2024-07-01 12:00:00,12.88
2024-07-01 13:00:00,18.81
2024-07-01 14:00:00,11.99
2024-07-01 15:00:00,22.83
2024-07-01 16:00:00,17.02
2024-07-01 17:00:00,22.43
2024-07-01 18:00:00,5.7
2024-07-01 19:00:00,5.99
2024-07-01 20:00:00,9.0
2024-07-01 21:00:00,9.84
2024-07-01 22:00:00,6.57
2024-07-01 23:00:00,8.46
2024-07-02 00:00:00,9.38
2024-07-02 01:00:00,9.47
2024-07-02 02:00:00,5.43
2024-07-02 03:00:00,5.2
2024-07-02 04:00:00,5.85
2024-07-02 05:00:00,9.39
2024-07-02 06:00:00,5.49
2024-07-02 07:00:00,7.11
2024-07-02 08:00:00,9.79
2024-07-02 09:00:00,19.12
2024-07-02 10:00:00,18.3
2024-07-02 11:00:00,21.25
2024-07-02 12:00:00,14.86
2024-07-02 13:00:00,20.5
2024-07-02 14:00:00,16.71
2024-07-02 15:00:00,18.09
2024-07-02 16:00:00,15.54
2024-07-02 17:00:00,18.67
2024-07-02 18:00:00,6.4
2024-07-02 19:00:00,8.95
2024-07-02 20:00:00,5.52
2024-07-02 21:00:00,7.24
2024-07-02 22:00:00,9.54
2024-07-02 23:00:00,6.47
2024-07-03 00:00:00,6.44
2024-07-03 01:00:00,5.65
2024-07-03 02:00:00,5.1
2024-07-03 03:00:00,8.39
2024-07-03 04:00:00,6.06
2024-07-03 05:00:00,6.33
2024-07-03 06:00:00,7.46
2024-07-03 07:00:00,5.27
2024-07-03 08:00:00,7.87
2024-07-03 09:00:00,15.38
2024-07-03 10:00:00,21.01
2024-07-03 11:00:00,16.07
2024-07-03 12:00:00,14.43
2024-07-03 13:00:00,14.47
2024-07-03 14:00:00,20.34
2024-07-03 15:00:00,21.97
2024-07-03 16:00:00,12.02
2024-07-03 17:00:00,20.89
2024-07-03 18:00:00,8.32
2024-07-03 19:00:00,7.57
2024-07-03 20:00:00,9.72
2024-07-03 21:00:00,7.93
2024-07-03 22:00:00,9.52
2024-07-03 23:00:00,5.69
2024-07-04 00:00:00,5.7
2024-07-04 01:00:00,9.04
2024-07-04 02:00:00,6.99
2024-07-04 03:00:00,5.83
2024-07-04 04:00:00,9.64
2024-07-04 05:00:00,6.74
2024-07-04 06:00:00,8.75
2024-07-04 07:00:00,8.63
2024-07-04 08:00:00,9.42
2024-07-04 09:00:00,15.43
2024-07-04 10:00:00,14.33
2024-07-04 11:00:00,13.13
2024-07-04 12:00:00,20.7
2024-07-04 13:00:00,23.36
2024-07-04 14:00:00,15.03
2024-07-04 15:00:00,24.3
2024-07-04 16:00:00,21.82
2024-07-04 17:00:00,17.46
2024-07-04 18:00:00,5.57
2024-07-04 19:00:00,9.75
2024-07-04 20:00:00,7.25
2024-07-04 21:00:00,7.89
2024-07-04 22:00:00,7.04
2024-07-04 23:00:00,6.19
2024-07-05 00:00:00,9.52
2024-07-05 01:00:00,7.87
2024-07-05 02:00:00,5.01
2024-07-05 03:00:00,8.09
2024-07-05 04:00:00,6.63
2024-07-05 05:00:00,7.64
2024-07-05 06:00:00,9.43
2024-07-05 07:00:00,6.79
2024-07-05 08:00:00,9.54
2024-07-05 09:00:00,17.8
2024-07-05 10:00:00,16.38
2024-07-05 11:00:00,16.23
2024-07-05 12:00:00,13.6
2024-07-05 13:00:00,17.64
2024-07-05 14:00:00,11.02
2024-07-05 15:00:00,17.43
2024-07-05 16:00:00,20.18
2024-07-05 17:00:00,16.7
2024-07-05 18:00:00,5.33
2024-07-05 19:00:00,8.78
2024-07-05 20:00:00,8.77
2024-07-05 21:00:00,9.62
2024-07-05 22:00:00,8.56
2024-07-05 23:00:00,5.62
2024-07-06 00:00:00,5.1
2024-07-06 01:00:00,5.13
2024-07-06 02:00:00,5.14
2024-07-06 03:00:00,6.23
2024-07-06 04:00:00,9.3
2024-07-06 05:00:00,7.69
2024-07-06 06:00:00,7.76
2024-07-06 07:00:00,9.21
2024-07-06 08:00:00,5.62
2024-07-06 09:00:00,19.2
2024-07-06 10:00:00,14.39
2024-07-06 11:00:00,17.3
2024-07-06 12:00:00,15.73
2024-07-06 13:00:00,12.05
2024-07-06 14:00:00,14.88
2024-07-06 15:00:00,19.86
2024-07-06 16:00:00,14.92
2024-07-06 17:00:00,18.78
2024-07-06 18:00:00,9.32
2024-07-06 19:00:00,8.74
2024-07-06 20:00:00,7.78
2024-07-06 21:00:00,5.68
2024-07-06 22:00:00,5.3
2024-07-06 23:00:00,5.61
2024-07-07 00:00:00,5.22
2024-07-07 01:00:00,5.54
2024-07-07 02:00:00,6.13
2024-07-07 03:00:00,8.56
2024-07-07 04:00:00,7.8
2024-07-07 05:00:00,5.06
2024-07-07 06:00:00,5.36
2024-07-07 07:00:00,9.84
2024-07-07 08:00:00,7.84
2024-07-07 09:00:00,12.22
2024-07-07 10:00:00,11.37
2024-07-07 11:00:00,19.29
2024-07-07 12:00:00,20.05
2024-07-07 13:00:00,21.51
2024-07-07 14:00:00,18.23
2024-07-07 15:00:00,14.51
